sequence,value
Apply-ViewSimilarJobs-UpdateFlowSkip-end,8
Apply-NotificationRecruiterMail-UpdateFlow-Savejobs-end,1
Apply-ShineLearning-NotificationJobAlert-Edit-end,1
Apply-Notification-NotificationProfileViews-NotificationRecruiterMail-NotificationJobAlert-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Edit-NotificationRecruiterMail-end,1
Apply-UpdateFlowSkip-NotificationRecruiterMail-Delete-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-Notification-NotificationRecruiterMail-end,1
Apply-GCMOpened-Notification-NotificationProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ProfileViews-end,3
Apply-Notification-NotificationProfileViews-ShineLearning-end,1
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-NotificationRecruiterMail-end,4
Apply-ViewSimilarJobs-ShineLearning-end,1
Apply-Notification-NotificationJobAlert-SaveJobAlert-end,1
Apply-Savejobs-Notification-end,2
Apply-UpdateFlow-Notification-NotificationJobAlert-Search-RateApp-end,1
Apply-Notification-NotificationJobAlert-Savejobs-RateApp-ViewSimilarJobs-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationProfileViews-GCMOpened-end,2
Apply-Notification-NotificationJobAlert-UpdateFlow-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationRecruiterMail-end,16
Apply-UpdateFlow-UpdateFlowSkip-NotificationJobAlert-Search-end,1
Apply-ProfileViews-Delete-end,1
Apply-ViewSimilarJobs-Notification-NotificationProfileViews-ProfileViews-Edit-end,1
Apply-UpdateFlow-UpdateFlowSkip-Search-Notification-NotificationRecruiterMail-end,1
Apply-GCMOpened-Notification-NotificationJobAlert-NotificationProfileViews-ProfileViews-end,2
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-Search-Edit-end,1
Apply-UpdateFlowSkip-UpdateFlow-Edit-Delete-Search-end,1
Apply-Notification-NotificationRecruiterMail-NotificationProfileViews-end,21
Apply-UpdateFlow-RateApp-end,41
Apply-Savejobs-Edit-end,1
Apply-UpdateFlow-Savejobs-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationProfileViews-RateApp-end,1
Apply-ViewSimilarJobs-NotificationProfileViews-NotificationJobAlert-end,1
Apply-UpdateFlow-ViewSimilarJobs-Search-RateApp-end,1
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-GCMOpened-end,1
Apply-UpdateFlowSkip-UpdateFlow-RateApp-Notification-NotificationJobAlert-end,1
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-Edit-end,1
Apply-Notification-NotificationRecruiterMail-NotificationJobAlert-end,3
Apply-Search-Edit-GCMOpened-end,1
Apply-RateApp-Edit-end,2
Apply-GCMOpened-NotificationJobAlert-end,1
Apply-Notification-NotificationJobAlert-ProfileViews-NotificationProfileViews-end,1
Apply-UpdateFlow-ViewSimilarJobs-RateApp-Notification-NotificationProfileViews-end,2
Apply-Search-EmailVerify-Edit-end,1
Apply-UpdateFlowSkip-NotificationProfileViews-Edit-ProfileViews-NotificationJobAlert-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-Search-RateApp-end,2
Apply-Notification-NotificationRecruiterMail-Edit-end,1
Apply-Notification-NotificationJobAlert-NotificationProfileViews-ProfileViews-end,4
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-Edit-NotificationRecruiterMail-end,1
Apply-RateApp-Notification-Search-end,1
Apply-ViewSimilarJobs-Edit-Delete-Search-end,1
Apply-UpdateFlow-UpdateFlowSkip-Edit-Delete-end,1
Apply-UpdateFlowSkip-Notification-end,43
Apply-ViewSimilarJobs-Search-end,50
Apply-FeedbackSend-ViewSimilarJobs-end,1
Apply-UpdateFlowSkip-Delete-end,2
Apply-ViewSimilarJobs-Notification-NotificationProfileViews-NotificationJobAlert-end,1
Apply-UpdateFlowSkip-UpdateFlow-ViewSimilarJobs-Savejobs-end,1
Apply-RateApp-CareerPlusAdClick-UpdateFlowSkip-end,1
Apply-UpdateFlowSkip-Savejobs-end,4
Apply-Savejobs-RateApp-end,3
Apply-Search-RateApp-GCMOpened-end,1
Apply-UpdateFlow-Notification-NotificationProfileViews-ProfileViews-Edit-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationJobAlert-Edit-end,3
Apply-UpdateFlowSkip-ViewSimilarJobs-RateApp-end,10
Apply-Notification-Delete-end,1
Apply-UpdateFlow-Edit-Search-SaveJobAlert-end,1
Apply-UpdateFlowSkip-Search-FeedbackSend-SaveJobAlert-end,1
Apply-Search-Edit-Add-end,1
Apply-UpdateFlow-UpdateFlowSkip-Logout-end,1
Apply-NotificationJobAlert-NotificationProfileViews-end,4
Apply-Edit-Add-Notification-NotificationRecruiterMail-end,1
Apply-Savejobs-Search-Edit-end,1
Apply-UpdateFlow-Edit-Notification-end,1
Apply-Notification-NotificationRecruiterMail-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlowSkip-UpdateFlow-Add-end,1
Apply-UpdateFlow-UpdateFlowSkip-RateApp-Delete-end,1
