sequence,value
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Edit-Add-Delete-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-LoginAttempt-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-end,17
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Search-Apply-end,15
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ViewSimilarJobs-end,4
HomeMenuLoggedOut-ForgotPassword-Edit-SaveJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-Edit-Search-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-ForgotPassword-Apply-ViewSimilarJobs-Notification-end,1
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-Apply-UpdateFlow-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginSuccess-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-LoginSuccess-ShineLearning-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-ShareJob-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Apply-UpdateFlow-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Search-Logout-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Search-LoginSuccess-LoginUserInfo-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Search-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Search-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationRecruiterMail-end,2
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Notification-NotificationJobAlert-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationJobAlert-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-Search-UpdateFlow-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Delete-Apply-end,2
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-end,243
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-UpdateFlowSkip-Apply-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-Add-end,10
HomeMenuLoggedOut-Edit-end,3
HomeMenuLoggedOut-ForgotPassword-Edit-end,2
